%time SOC Ptotal Psensor1 Ppv Ipv
0 0 0 2 0.307692307692 0
10 0.7999200036 0 2 0.307692307692 0.0879120879121
20 0.799840015199 0 2 0.307692307692 0.0879120879121
30 0.799760034797 0 2 0.307692307692 0.0879120879121
40 0.799680062392 0 2 0.307692307692 0.0879120879121
50 0.799600097984 0 0.1 0.307692307692 0.0879120879121
60 0.799520141573 0 0.1 0.307692307692 0.0879120879121
70 0.799440193156 0 0.1 0.307692307692 0.0879120879121
80 0.799360252734 0 0.1 0.307692307692 0.0879120879121
90 0.799280320306 0 0.1 0.307692307692 0.0879120879121
100 0.799200395871 0 2 0.769230769231 0.0879120879121
110 0.799120479427 0 2 0.769230769231 0.21978021978
120 0.799040570975 0 2 0.769230769231 0.21978021978
130 0.798960670514 0 2 0.769230769231 0.21978021978
140 0.798880778042 0 2 0.769230769231 0.21978021978
150 0.798800893559 0 0.1 0.769230769231 0.21978021978
160 0.798721017064 0 0.1 0.769230769231 0.21978021978
170 0.798641148557 0 0.1 0.769230769231 0.21978021978
180 0.798561288036 0 0.1 0.769230769231 0.21978021978
190 0.7984814355 0 0.1 0.769230769231 0.21978021978
200 0.79840159095 0 2 1.07692307692 0.21978021978
210 0.798321754383 0 2 1.07692307692 0.307692307692
220 0.7982419258 0 2 1.07692307692 0.307692307692
230 0.7981621052 0 2 1.07692307692 0.307692307692
240 0.798082292581 0 2 1.07692307692 0.307692307692
250 0.798002487943 0 0.1 1.07692307692 0.307692307692
260 0.797922691285 0 0.1 1.07692307692 0.307692307692
270 0.797842902606 0 0.1 1.07692307692 0.307692307692
280 0.797763121906 0 0.1 1.07692307692 0.307692307692
290 0.797683349184 0 0.1 1.07692307692 0.307692307692
300 0.797603584439 0 2 1.38461538462 0.307692307692
310 0.797523827669 0 2 1.38461538462 0.395604395604
320 0.797444078875 0 2 1.38461538462 0.395604395604
330 0.797364338056 0 2 1.38461538462 0.395604395604
340 0.79728460521 0 2 1.38461538462 0.395604395604
350 0.797204880337 0 0.1 1.38461538462 0.395604395604
360 0.797125163436 0 0.1 1.38461538462 0.395604395604
370 0.797045454507 0 0.1 1.38461538462 0.395604395604
380 0.796965753548 0 0.1 1.38461538462 0.395604395604
390 0.796886060559 0 0.1 1.38461538462 0.395604395604
400 0.796806375539 0 2 0.615384615385 0.395604395604
410 0.796726698487 0 2 0.615384615385 0.175824175824
420 0.796647029402 0 2 0.615384615385 0.175824175824
430 0.796567368284 0 2 0.615384615385 0.175824175824
440 0.796487715132 0 2 0.615384615385 0.175824175824
450 0.796408069944 0 0.1 0.615384615385 0.175824175824
460 0.796328432721 0 0.1 0.615384615385 0.175824175824
470 0.796248803461 0 0.1 0.615384615385 0.175824175824
480 0.796169182164 0 0.1 0.615384615385 0.175824175824
490 0.796089568828 0 0.1 0.615384615385 0.175824175824
500 0.796009963454 0 2 0.461538461538 0.175824175824
510 0.795930366039 0 2 0.461538461538 0.131868131868
520 0.795850776584 0 2 0.461538461538 0.131868131868
530 0.795771195088 0 2 0.461538461538 0.131868131868
540 0.795691621549 0 2 0.461538461538 0.131868131868
550 0.795612055968 0 0.1 0.461538461538 0.131868131868
560 0.795532498342 0 0.1 0.461538461538 0.131868131868
570 0.795452948672 0 0.1 0.461538461538 0.131868131868
