0,0
10,0
20,0
30,0
40,0
50,0
60,0
70,0
80,0
90,0
100,0
110,0
120,0
130,0
140,0
150,0
160,0
170,0
180,0
190,0
200,0
210,0
220,0
230,0
240,0
250,0
260,0
270,0
280,0
290,0
300,0
310,0
320,0
330,0
340,0
350,0
360,0
370,0
380,0
390,0
400,0
410,0
420,0
430,0
440,0
450,0
460,0
470,0
480,0
490,46.386
500,74.704
510,84.572
520,96.968
530,118
540,147.59
550,182.78
560,224.01
570,269.29
580,315.63
590,362.54
600,413.93
610,462.94
620,508.74
630,558.09
640,603.77
650,649.04
660,689.35
670,730.41
680,758.11
690,782.68
700,815.21
710,841.44
720,870.69
730,894.97
740,901.04
750,913.59
760,945.04
770,976.77
780,956.79
790,947.09
800,941.92
810,921.17
820,896.15
830,866.97
840,833.77
850,796.72
860,755.84
870,711.22
880,664.84
890,613.96
900,557.82
910,497.17
920,433.5
930,385.95
940,333.22
950,279.39
960,227.63
970,175.89
980,124.07
990,59.373
1000,0
1010,0
1020,0
1030,0
1040,0
1050,0
1060,0
1070,0
1080,0
1090,0
1100,0
1110,0
1120,0
1130,0
1140,0
1150,0
1160,0
1170,0
1180,0
1190,0
1200,0
1210,0
1220,0
1230,0
1240,0
1250,0
1260,0
1270,0
1280,0
1290,0
1300,0
1310,0
1320,0
1330,0
1340,0
1350,0
1360,0
1370,0
1380,0
1390,0
1400,0
1410,0
1420,0
1430,0
