%time SOC Ptotal Psensor1
1250 0.788077770569 0.665 0.7
1260 0.787944313643 0.665 0.7
1270 0.787810854074 0.665 0.7
1280 0.787677391861 0.665 0.7
1290 0.787622862272 0.0095 0.01
1300 0.787620955672 0.0095 0.01
1310 0.787619049072 0.0095 0.01
1320 0.78753820741 0.665 0.7
1330 0.787404739797 0.665 0.7
1340 0.78727126954 0.665 0.7
1350 0.787137796641 0.665 0.7
1360 0.787004321098 0.665 0.7
1370 0.786870842912 0.665 0.7
1380 0.786737362083 0.665 0.7
1390 0.786669667238 0.0095 0.01
1400 0.786667760369 0.0095 0.01
1410 0.786665853499 0.0095 0.01
1420 0.786598158219 0.665 0.7
1430 0.786464671991 0.665 0.7
1440 0.78633118312 0.665 0.7
1450 0.786197691606 0.665 0.7
1460 0.786064197449 0.665 0.7
1470 0.785930700649 0.665 0.7
1480 0.785797201207 0.665 0.7
1490 0.785716337414 0.0095 0.01
1500 0.785714430275 0.0095 0.01
1510 0.785712523135 0.0095 0.01
1520 0.785657977933 0.665 0.7
1530 0.785524473092 0.665 0.7
1540 0.785390965608 0.665 0.7
1550 0.785257455481 0.665 0.7
1560 0.785123942712 0.665 0.7
1570 0.7849904273 0.665 0.7
1580 0.784856909244 0.665 0.7
1590 0.784762872807 0.0095 0.01
1600 0.784760965398 0.0095 0.01
1610 0.784759057989 0.0095 0.01
1620 0.784717666559 0.665 0.7
1630 0.784584143105 0.665 0.7
1640 0.784450617008 0.665 0.7
1650 0.784317088267 0.665 0.7
1660 0.784183556884 0.665 0.7
1670 0.784050022857 0.665 0.7
1680 0.783916486187 0.665 0.7
1690 0.783809273408 0.0095 0.01
1700 0.783807365729 0.0095 0.01
1710 0.78380545805 0.0095 0.01
1720 0.783777224088 0.665 0.7
1730 0.783643682018 0.665 0.7
1740 0.783510137304 0.665 0.7
1750 0.783376589946 0.665 0.7
1760 0.783243039944 0.665 0.7
1770 0.783109487299 0.665 0.7
1780 0.782975932009 0.665 0.7
1790 0.782855539188 0.0095 0.01
1800 0.78285363124 0.0095 0.01
1810 0.782851723292 0.0095 0.01
1820 0.782836650492 0.665 0.7
1830 0.782703089801 0.665 0.7
1840 0.782569526464 0.665 0.7
