%time SOC Ptotal Psensor1 Psensor2 Pmcu Prf Ppv Ipv
700 0.79266247619 1.7125 2 0.15 0.3 0.3 0.4 0.285714285714
710 0.792228094411 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
720 0.791822259866 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
730 0.791416446155 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
740 0.791010653286 1.6285 2 0.01 0.01 0.01 0.4 0.114285714286
750 0.790604881265 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
760 0.790542173103 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
770 0.790517584035 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
780 0.790492997624 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
790 0.790468413871 -0.2715 0.1 0.01 0.01 0.01 0.4 0.114285714286
800 0.790443832776 2.3125 2 0.15 0.3 0.3 0.8 0.114285714286
810 0.790049685579 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
820 0.789724218244 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
830 0.789398771531 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
840 0.789073345442 1.2285 2 0.01 0.01 0.01 0.8 0.228571428571
850 0.788747939977 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
860 0.788765680909 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
870 0.788821540686 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
880 0.78887739376 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
890 0.788933240131 -0.6715 0.1 0.01 0.01 0.01 0.8 0.228571428571
900 0.7889890798 1.9125 2 0.15 0.3 0.3 0.6 0.228571428571
910 0.788578953871 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
920 0.788213443694 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
930 0.787847954511 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
940 0.787482486323 1.4285 2 0.01 0.01 0.01 0.6 0.171428571429
950 0.787117039132 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
960 0.787094827733 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
970 0.787110750001 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
980 0.787126670453 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
990 0.78714258909 -0.4715 0.1 0.01 0.01 0.01 0.6 0.171428571429
1000 0.787158505912 2.1125 2 0.15 0.3 0.3 1.2 0.171428571429
1010 0.786836794318 0.8285 2 0.01 0.01 0.01 1.2 0.342857142857
1020 0.786591821336 0.8285 2 0.01 0.01 0.01 1.2 0.342857142857
1030 0.786346866808 0.8285 2 0.01 0.01 0.01 1.2 0.342857142857
1040 0.786101930733 0.8285 2 0.01 0.01 0.01 1.2 0.342857142857
1050 0.785857013109 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
1060 0.785955374994 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
1070 0.786091859373 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
1080 0.786228325753 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
1090 0.786364774134 -1.0715 0.1 0.01 0.01 0.01 1.2 0.342857142857
1100 0.78650120452 1.5125 2 0.15 0.3 0.3 1.6 0.342857142857
1110 0.786267857696 0.4285 2 0.01 0.01 0.01 1.6 0.457142857143
1120 0.786103222126 0.4285 2 0.01 0.01 0.01 1.6 0.457142857143
